"desc","date","ipd","pop"
"2-4y",2010-01-01,258.690828402367,3207236
"5-14y",2010-01-01,367.340976331361,9134777
"15-24y",2010-01-01,271.10798816568,10238565
"25-44y",2010-01-01,1729.08949704142,15346747
"45-64y",2010-01-01,717.090976331361,7800671.5
">=65y",2010-01-01,170.735946745562,2674683.9
"<2y",2011-01-01,497.511433351924,2238040
"2-4y",2011-01-01,239.738984941439,3281364
"5-14y",2011-01-01,334.14947016174,9222514
"15-24y",2011-01-01,248.225320691578,10190572
"25-44y",2011-01-01,1608.16062465142,15782229
"45-64y",2011-01-01,724.520914668154,8017997
">=65y",2011-01-01,151.693251533742,2729842.01
"<2y",2012-01-01,403.010420168067,2255571
"2-4y",2012-01-01,151.670588235294,3308441
"5-14y",2012-01-01,299.007731092437,9327305
"15-24y",2012-01-01,219.922352941176,10118283
"25-44y",2012-01-01,1368.28537815126,16204608
"45-64y",2012-01-01,609.93243697479,8238264
">=65y",2012-01-01,171.171092436975,2795651.46
"<2y",2013-01-01,417.08284457478,2277481
"2-4y",2013-01-01,106.109237536657,3310727
"5-14y",2013-01-01,200.662023460411,9503899
"15-24y",2013-01-01,183.852639296188,10010505
"25-44y",2013-01-01,1235.48973607038,16628619
"45-64y",2013-01-01,558.912023460411,8451730
">=65y",2013-01-01,163.891495601173,2868684.99
"<2y",2014-01-01,391.654070899883,2292738
"2-4y",2014-01-01,103.23490455785,3317012
"5-14y",2014-01-01,173.47721075185,9710604
"15-24y",2014-01-01,173.47721075185,9889101
"25-44y",2014-01-01,1164.31943903389,17045026
"45-64y",2014-01-01,552.359953252824,8661919
">=65y",2014-01-01,173.47721075185,2948294.92
"<2y",2015-01-01,334.933494558646,2296151
"2-4y",2015-01-01,71.2398226521564,3345369
"5-14y",2015-01-01,140.353083434099,9900842
"15-24y",2015-01-01,159.492140266022,9779346
"25-44y",2015-01-01,1144.09028617493,17444514
"45-64y",2015-01-01,596.500604594921,8874819
">=65y",2015-01-01,191.390568319226,3033352.04
"<2y",2016-01-01,318.364966555184,2286605
"2-4y",2016-01-01,88.491220735786,3374319
"5-14y",2016-01-01,152.571070234114,10109334
"15-24y",2016-01-01,160.708193979933,9668406
"25-44y",2016-01-01,979.50627090301,17818443
"45-64y",2016-01-01,554.341555183947,9095411
">=65y",2016-01-01,179.016722408027,3123093.16
"<2y",2017-01-01,309.310058187864,2248757
"2-4y",2017-01-01,83.1587697423109,3389640
"5-14y",2017-01-01,110.540315876974,10324499
"15-24y",2017-01-01,144.006650041563,9555571
"25-44y",2017-01-01,978.636741479634,18147925
"45-64y",2017-01-01,617.605985037407,9322198
">=65y",2017-01-01,196.741479634248,3216967.73
"<2y",2018-01-01,324.899603698811,2221079
"2-4y",2018-01-01,68.2391017173051,3388033
"5-14y",2018-01-01,115.089828269485,10548528
"15-24y",2018-01-01,137.496697490092,9458476
"25-44y",2018-01-01,946.180977542933,18444749
"45-64y",2018-01-01,519.431968295905,9558353
">=65y",2018-01-01,201.661822985469,3315445.9
"<2y",2019-01-01,295.778738115817,2225505
"2-4y",2019-01-01,71.1495246326707,3348426
"5-14y",2019-01-01,116.888504753673,10751526
"15-24y",2019-01-01,115.872082973207,9416165
"25-44y",2019-01-01,973.732065687122,18721960
"45-64y",2019-01-01,576.311149524633,9804251
